N,P,K,temperature,humidity,ph,rainfall,label
130,80,169,30.69,70.25,9.68,50.97,pigeonpeas
52,74,35,42.6,39.08,8.82,105.16,pigeonpeas
38,52,194,16.21,52.09,5.3,93.46,pigeonpeas
39,102,9,11.56,42.53,4.18,219.83,pigeonpeas
132,128,177,36.89,70.33,4.59,88.41,pigeonpeas
52,142,129,15.91,97.07,3.55,243.7,pigeonpeas
122,139,185,42.62,78.51,5.39,41.16,pigeonpeas
125,60,190,28.79,35.17,4.1,226.12,pigeonpeas
21,62,55,26.31,60.92,9.67,247.08,pigeonpeas
47,73,115,32.4,60.62,4.84,124.97,pigeonpeas
121,104,162,24.47,46.77,6.22,33.72,pigeonpeas
51,18,185,10.79,22.63,6.45,163.44,pigeonpeas
45,86,136,42.59,85.06,9.61,162.74,pigeonpeas
56,110,119,24.46,92.62,5.13,177.5,pigeonpeas
109,24,175,28.3,20.39,6.41,148.66,pigeonpeas
4,129,154,28.66,57.6,9.18,151.49,pigeonpeas
27,118,146,22.34,22.62,7.09,293.51,pigeonpeas
61,131,126,22.78,27.56,4.05,240.19,pigeonpeas
104,66,63,31.99,92.25,5.48,43.44,pigeonpeas
65,104,83,10.16,62.33,6.1,236.49,pigeonpeas
131,82,195,29.94,21.0,7.23,118.08,pigeonpeas
17,91,158,34.94,93.47,3.78,208.13,pigeonpeas
84,113,137,27.92,76.55,6.32,57.57,pigeonpeas
117,42,152,17.57,42.09,4.9,208.22,pigeonpeas
88,5,176,16.99,14.45,4.1,188.19,pigeonpeas
122,63,20,25.96,98.99,9.02,108.77,pigeonpeas
21,23,33,26.79,29.67,3.53,70.31,pigeonpeas
13,143,152,35.67,38.35,9.47,22.1,pigeonpeas
86,19,82,30.83,38.21,6.75,66.3,pigeonpeas
99,126,8,44.87,63.73,4.94,275.87,pigeonpeas
40,85,144,41.67,53.5,8.3,81.82,pigeonpeas
49,35,38,35.51,56.06,7.86,84.18,pigeonpeas
121,52,9,15.82,49.82,3.66,131.65,pigeonpeas
87,80,181,36.33,68.52,7.8,251.89,pigeonpeas
9,12,160,28.69,65.04,6.5,160.55,pigeonpeas
6,66,109,44.59,31.68,7.71,118.7,pigeonpeas
68,28,202,40.38,43.28,3.84,149.69,pigeonpeas
129,79,174,35.63,90.3,8.68,251.59,pigeonpeas
110,105,60,24.5,76.56,8.4,159.71,pigeonpeas
96,57,30,43.62,84.9,6.16,78.05,pigeonpeas
6,10,35,23.02,58.7,7.53,140.35,pigeonpeas
44,40,19,13.88,25.03,4.78,149.39,pigeonpeas
26,56,181,39.21,39.59,9.17,81.45,pigeonpeas
113,109,9,42.38,64.3,8.85,292.92,pigeonpeas
20,67,192,40.17,20.85,7.48,255.96,pigeonpeas
15,14,204,14.19,77.7,6.15,122.1,pigeonpeas
122,74,174,21.46,85.13,3.52,63.94,pigeonpeas
110,102,29,20.25,73.45,9.51,171.29,pigeonpeas
79,75,133,28.2,35.09,5.0,76.04,pigeonpeas
28,122,201,10.32,55.85,4.95,235.39,pigeonpeas
100,78,24,27.0,88.32,9.09,272.99,pigeonpeas
98,112,110,43.22,78.24,9.44,241.42,pigeonpeas
69,114,62,30.82,87.6,7.7,197.66,pigeonpeas
37,35,81,32.76,45.52,7.17,162.65,pigeonpeas
138,104,126,17.2,69.93,8.53,252.93,pigeonpeas
88,106,94,24.79,59.91,7.54,282.47,pigeonpeas
130,139,69,18.39,93.84,6.19,209.8,pigeonpeas
18,60,142,32.79,28.86,6.67,24.96,pigeonpeas
62,52,75,14.09,81.66,8.54,40.86,pigeonpeas
123,109,47,13.69,54.46,7.12,229.37,pigeonpeas
27,68,191,44.47,76.34,9.45,120.03,pigeonpeas
139,73,37,24.75,31.83,9.82,266.69,pigeonpeas
34,54,25,30.42,77.22,4.82,52.98,pigeonpeas
102,49,203,23.69,51.83,9.8,86.73,pigeonpeas
102,39,97,44.79,61.64,8.9,188.64,pigeonpeas
120,85,90,38.51,84.21,5.78,181.24,pigeonpeas
122,93,86,29.91,97.0,7.22,57.74,pigeonpeas
31,37,188,18.61,17.09,8.18,272.71,pigeonpeas
136,46,49,28.16,42.37,3.89,214.41,pigeonpeas
85,89,69,35.18,44.06,4.73,168.45,pigeonpeas
64,44,58,30.87,76.57,7.98,283.11,pigeonpeas
133,124,182,24.88,16.54,6.71,77.84,pigeonpeas
23,43,17,32.23,82.89,5.16,25.63,pigeonpeas
57,116,40,40.48,41.34,7.19,161.55,pigeonpeas
52,64,48,36.1,77.76,3.89,83.94,pigeonpeas
71,138,130,15.43,18.47,9.38,265.49,mothbeans
103,44,106,16.42,43.67,7.47,178.03,mothbeans
32,132,192,26.61,91.71,7.55,149.11,mothbeans
99,96,31,37.69,19.74,7.17,232.41,mothbeans
57,93,26,35.97,79.71,9.06,113.49,mothbeans
59,98,46,39.29,95.87,4.75,83.56,mothbeans
101,133,91,15.26,39.51,8.21,129.69,mothbeans
102,41,26,20.43,16.21,8.59,232.7,mothbeans
51,61,121,25.78,95.94,5.3,51.36,mothbeans
110,85,55,16.01,92.86,6.76,138.97,mothbeans
46,77,11,35.17,46.32,6.61,238.56,mothbeans
64,14,77,12.2,24.1,6.19,48.64,mothbeans
114,93,146,17.43,45.2,7.57,99.04,mothbeans
1,124,75,20.17,92.51,6.75,278.29,mothbeans
0,9,197,11.5,70.91,4.1,205.59,mothbeans
120,108,203,13.14,75.37,8.64,150.71,mothbeans
135,84,15,43.63,77.38,9.47,78.94,mothbeans
41,78,13,44.68,36.47,5.04,224.93,mothbeans
89,109,73,13.0,34.98,6.08,42.25,mothbeans
79,42,191,18.06,17.05,9.4,282.5,mothbeans
72,15,63,37.22,47.57,8.25,171.99,mothbeans
15,46,115,42.12,56.37,7.67,279.1,mothbeans
58,56,5,19.91,91.16,4.06,251.29,mothbeans
111,87,132,42.49,93.16,7.4,91.22,mothbeans
76,82,190,44.68,70.42,6.81,101.95,mothbeans
63,54,174,31.99,38.93,4.25,81.55,mothbeans
53,70,97,11.69,34.32,5.35,98.56,mothbeans
21,86,106,31.62,30.05,7.03,71.36,mothbeans
91,130,138,16.91,76.01,6.03,31.02,mothbeans
106,140,63,29.6,41.42,8.01,66.65,mothbeans
30,22,49,36.98,29.98,9.8,40.07,mothbeans
93,77,115,11.08,72.54,7.22,248.46,mothbeans
119,95,45,37.05,47.9,6.92,119.74,mothbeans
138,123,146,31.69,34.62,4.39,205.03,mothbeans
74,75,17,37.24,90.13,4.05,146.61,mothbeans
105,21,89,11.15,44.86,4.91,164.04,mothbeans
48,141,119,15.5,36.88,3.52,194.8,mothbeans
30,100,30,11.34,84.56,3.93,140.22,mothbeans
40,32,100,35.7,52.44,7.35,86.23,mothbeans
137,59,17,36.62,90.38,8.42,179.35,mothbeans
45,66,99,13.26,99.71,3.66,87.59,mothbeans
74,104,149,36.24,72.98,8.67,161.58,mothbeans
31,31,120,40.99,55.01,5.12,96.34,mothbeans
79,89,60,38.71,51.28,7.66,113.62,mothbeans
129,62,107,42.33,68.2,8.67,108.52,mothbeans
19,138,167,28.36,44.4,4.66,72.81,mothbeans
5,130,48,28.6,98.97,4.49,52.64,mothbeans
72,72,24,35.69,65.7,8.6,214.9,mothbeans
12,44,169,30.14,34.58,9.05,35.66,mothbeans
26,95,49,14.81,75.07,5.76,136.58,mothbeans
129,107,28,40.83,68.17,4.9,187.35,mothbeans
136,121,81,44.07,28.7,4.09,68.94,mothbeans
77,26,182,30.56,48.27,8.24,81.87,mothbeans
12,62,79,14.99,87.75,7.02,111.11,mothbeans
123,36,51,36.59,61.48,3.84,127.28,mothbeans
2,144,188,22.36,30.88,8.69,288.65,mothbeans
113,102,43,21.41,68.47,4.05,273.63,mothbeans
30,129,125,42.73,34.68,3.91,202.13,mothbeans
85,33,110,25.73,68.56,8.45,142.8,mothbeans
116,57,189,22.34,91.18,7.26,108.93,mothbeans
86,10,165,37.43,56.39,5.76,249.36,mothbeans
73,32,175,42.15,69.63,5.05,286.82,mothbeans
129,98,157,28.75,25.79,9.07,198.96,mothbeans
128,131,36,31.39,36.39,6.78,105.67,mothbeans
132,103,37,28.21,80.36,5.37,97.02,mothbeans
106,134,112,22.45,99.91,8.95,269.4,mothbeans
51,48,70,33.49,99.18,7.86,256.69,mothbeans
95,108,182,32.88,56.04,5.95,32.92,mothbeans
102,42,41,30.38,68.87,4.42,226.86,mothbeans
102,101,64,43.2,42.33,3.8,131.89,mothbeans
3,39,7,43.07,63.33,5.47,236.97,mothbeans
44,18,157,23.47,24.34,6.61,135.0,mothbeans
17,90,79,11.16,82.78,9.34,279.73,mothbeans
128,52,13,27.16,16.92,8.02,74.92,mothbeans
133,24,13,44.44,17.61,7.05,296.94,mothbeans
34,99,196,42.13,96.4,8.46,289.16,mothbeans
13,113,139,29.96,78.11,7.13,72.01,mothbeans
129,15,57,38.06,26.88,9.74,53.61,mothbeans
85,85,101,20.69,68.6,8.61,275.29,mothbeans
8,21,190,39.35,50.09,8.54,160.49,mothbeans
1,129,180,42.63,81.59,3.54,129.11,mothbeans
91,8,7,14.66,85.0,3.86,281.97,mothbeans
49,136,203,27.54,25.41,7.62,261.44,mothbeans
78,30,184,19.95,29.08,6.91,128.8,mothbeans
34,129,23,31.78,64.49,8.18,168.43,mothbeans
21,65,104,27.44,99.91,6.12,208.03,mothbeans
123,8,149,15.01,76.71,7.55,54.56,mothbeans
84,125,65,11.56,45.76,5.52,184.59,mothbeans
15,40,188,36.69,57.38,8.99,84.19,mothbeans
119,108,133,30.68,39.5,3.57,166.69,mothbeans
73,64,145,43.06,16.31,3.67,38.14,mothbeans
19,78,140,24.74,62.18,3.89,280.92,mothbeans
136,99,31,41.08,96.21,8.69,57.41,mothbeans
0,109,174,16.74,51.62,8.39,64.48,mothbeans
28,15,156,42.0,96.77,7.65,226.11,mothbeans
68,23,160,21.05,86.86,9.1,266.53,mothbeans
17,110,195,15.66,75.3,7.66,266.04,mothbeans
47,35,142,13.99,41.29,7.26,255.2,mothbeans
110,69,120,35.03,78.16,9.26,157.95,mothbeans
88,71,155,32.04,29.47,4.94,165.45,mothbeans
13,125,112,17.82,72.16,7.89,181.2,mungbean
39,80,60,29.54,37.99,4.4,64.49,mungbean
29,72,137,35.47,96.34,8.74,263.4,mungbean
57,56,74,44.39,64.23,4.96,88.08,mungbean
5,62,161,31.91,26.69,7.47,273.39,mungbean
88,111,107,33.78,83.08,9.54,285.93,mungbean
27,91,23,41.64,67.27,4.52,253.23,mungbean
120,79,138,27.22,18.91,4.98,202.77,mungbean
70,86,202,37.2,50.64,6.59,146.39,mungbean
80,65,14,40.19,69.76,6.23,283.56,mungbean
82,69,55,17.54,72.63,6.4,247.62,mungbean
13,82,95,21.85,36.89,9.14,147.1,mungbean
97,47,192,28.1,23.17,6.27,182.63,mungbean
138,47,39,23.78,55.13,6.79,209.19,mungbean
90,120,198,33.49,18.85,4.3,50.81,mungbean
106,55,43,37.7,53.64,8.99,44.27,mungbean
137,131,155,25.28,15.25,8.83,139.73,mungbean
106,80,106,32.83,35.0,6.3,171.25,mungbean
60,22,194,36.4,77.25,6.42,75.8,mungbean
23,110,187,12.18,75.65,6.43,56.97,mungbean
103,74,140,28.11,57.53,5.39,286.18,mungbean
81,60,140,27.93,35.24,6.04,289.69,mungbean
22,47,96,33.54,26.28,4.26,262.05,mungbean
33,65,105,41.8,68.87,8.78,236.43,mungbean
53,34,71,31.04,82.29,6.83,27.8,mungbean
75,126,164,32.21,14.99,5.47,49.47,mungbean
22,47,156,12.0,83.61,8.79,254.59,mungbean
114,100,147,11.09,63.97,4.6,254.54,mungbean
46,14,182,21.38,27.52,7.73,248.2,mungbean
102,26,83,40.94,60.96,6.27,115.8,mungbean
136,33,170,22.54,56.18,4.51,127.18,mungbean
10,118,34,29.31,76.82,8.41,72.68,mungbean
48,121,130,32.64,24.98,3.61,247.65,mungbean
89,69,64,15.96,48.55,5.71,219.06,mungbean
83,112,143,25.86,32.87,5.21,36.16,mungbean
135,78,175,24.87,31.96,7.29,61.65,mungbean
8,92,130,19.58,71.69,5.02,20.14,mungbean
113,40,163,32.01,43.69,4.67,249.67,mungbean
86,30,144,14.49,79.07,9.21,207.24,mungbean
120,101,69,35.02,76.42,7.65,220.71,mungbean
113,133,129,24.13,68.9,4.88,84.42,mungbean
7,54,25,19.36,15.73,8.64,112.78,mungbean
90,5,186,32.58,65.88,7.16,219.88,mungbean
129,18,32,18.03,61.1,3.9,222.34,mungbean
132,105,175,29.14,59.12,4.33,270.8,mungbean
42,46,193,23.0,51.16,8.72,51.52,mungbean
122,47,127,14.53,20.95,8.04,58.63,mungbean
116,61,84,43.19,55.57,9.46,262.83,mungbean
90,114,186,11.66,78.13,8.65,110.57,mungbean
106,115,131,42.6,57.92,7.49,264.03,mungbean
77,16,51,36.79,80.61,9.56,223.99,mungbean
80,47,41,27.35,96.06,8.89,61.23,mungbean
105,26,45,32.63,78.13,4.56,224.49,mungbean
92,117,13,14.31,95.9,5.74,140.93,mungbean
52,9,10,22.56,40.04,7.28,188.1,mungbean
59,95,30,23.02,80.08,7.44,82.78,mungbean
57,27,200,38.41,49.02,9.6,115.03,mungbean
120,104,126,14.78,94.74,9.67,80.27,mungbean
106,37,25,26.45,51.84,8.64,149.62,mungbean
85,110,38,24.92,39.95,4.16,232.16,mungbean
12,51,185,21.6,51.63,3.82,250.2,mungbean
43,58,69,32.13,66.47,6.86,49.79,mungbean
135,76,150,41.4,40.33,9.02,189.69,mungbean
18,139,200,28.42,67.95,6.89,157.17,mungbean
102,93,18,15.52,91.28,4.67,288.65,mungbean
55,76,191,20.63,51.43,4.81,117.49,mungbean
81,75,151,43.85,18.59,6.15,141.27,mungbean
70,94,180,23.46,94.48,5.64,254.61,mungbean
29,48,127,22.56,34.15,8.97,116.05,mungbean
87,62,59,22.23,61.31,3.65,297.43,mungbean
20,68,196,17.76,96.81,3.71,39.62,mungbean
63,55,56,27.0,77.45,7.7,24.62,mungbean
90,111,7,19.96,87.02,4.01,175.11,mungbean
30,27,171,36.33,80.9,5.34,288.07,mungbean
109,106,55,39.16,14.16,7.53,78.1,mungbean
90,113,106,23.82,22.4,7.03,99.73,mungbean
13,15,52,23.47,71.65,5.8,258.21,mungbean
37,102,191,32.46,80.8,9.82,127.88,mungbean
122,61,46,34.8,88.47,6.75,256.78,mungbean
106,113,186,11.59,62.9,6.51,295.02,mungbean
99,33,63,17.66,53.33,6.78,94.21,mungbean
126,35,93,12.08,60.64,3.88,38.61,mungbean
123,71,35,21.75,67.24,9.43,270.32,mungbean
29,15,9,24.28,82.59,9.74,298.83,mungbean
18,32,34,32.41,32.71,7.3,32.97,mungbean
44,136,104,14.58,44.99,8.97,75.58,mungbean
100,89,120,17.0,96.65,7.96,231.6,mungbean
63,115,35,24.48,22.85,5.12,288.09,mungbean
131,137,150,28.56,96.29,4.49,109.54,mungbean
10,84,104,43.5,42.81,5.88,206.82,mungbean
44,27,170,25.87,28.46,6.93,210.1,mungbean
130,35,162,19.91,48.02,6.36,136.62,mungbean
114,95,201,36.23,76.13,4.29,48.35,mungbean
8,138,181,34.49,45.41,6.79,240.37,mungbean
86,121,193,37.25,50.91,6.65,285.16,mungbean
100,84,13,23.72,48.15,8.34,110.46,mungbean
33,9,140,29.97,73.37,4.21,163.2,mungbean
91,43,145,30.79,77.86,9.86,97.49,mungbean
63,56,203,36.01,43.93,5.93,160.54,mungbean
131,41,72,38.42,69.88,3.75,101.29,mungbean
16,96,49,23.41,99.54,9.85,227.85,blackgram
72,137,174,24.44,31.22,4.18,246.78,blackgram
23,48,141,23.99,20.06,9.74,57.21,blackgram
138,75,192,33.32,92.57,9.51,111.15,blackgram
0,15,49,11.16,29.9,9.83,225.94,blackgram
133,19,121,16.1,71.14,7.09,250.58,blackgram
23,90,42,34.31,53.67,8.89,164.01,blackgram
83,135,141,23.2,63.49,4.3,246.05,blackgram
78,52,177,42.06,54.87,4.79,44.81,blackgram
138,57,169,21.28,93.7,4.82,143.95,blackgram
9,129,131,20.91,49.11,7.81,41.18,blackgram
138,127,197,32.87,49.52,8.8,152.84,blackgram
36,49,201,29.15,17.28,7.23,116.42,blackgram
40,52,188,25.98,28.05,4.93,200.03,blackgram
51,95,77,13.51,52.02,5.3,79.26,blackgram
111,57,140,24.15,98.93,8.01,233.19,blackgram
11,54,112,40.44,35.6,3.88,62.58,blackgram
63,94,158,21.01,29.61,8.24,254.06,blackgram
40,133,158,13.58,75.35,9.71,91.55,blackgram
124,108,143,41.52,44.54,4.57,117.73,blackgram
56,139,10,24.95,88.78,8.7,193.13,blackgram
110,135,203,24.69,72.53,6.12,40.88,blackgram
19,37,72,21.84,49.79,5.27,51.19,blackgram
71,15,176,43.52,15.35,6.82,250.44,blackgram
13,13,170,37.69,81.65,5.29,151.3,blackgram
129,42,32,26.83,98.65,4.29,225.38,blackgram
131,37,109,23.64,36.09,5.7,197.39,blackgram
64,44,114,20.24,31.13,4.21,27.92,blackgram
73,45,15,32.1,82.38,9.88,60.88,blackgram
79,52,35,17.36,63.33,8.91,132.01,blackgram
57,121,189,29.0,23.63,7.5,221.61,blackgram
80,11,152,33.83,63.61,6.63,105.18,blackgram
49,122,29,31.25,63.47,8.72,153.61,blackgram
33,137,101,17.23,23.58,9.22,178.17,blackgram
12,16,164,22.91,45.5,8.03,186.19,blackgram
26,17,74,41.14,78.36,5.53,157.31,blackgram
121,68,149,11.91,27.46,6.35,198.94,blackgram
59,120,170,42.3,49.65,5.97,253.52,blackgram
14,50,168,36.86,68.28,7.76,168.06,blackgram
58,79,75,38.31,43.33,5.82,225.31,blackgram
75,59,69,37.2,84.4,9.83,230.18,blackgram
63,123,118,18.34,62.69,4.49,41.16,blackgram
9,70,15,23.62,62.67,5.71,114.35,blackgram
117,56,89,22.54,46.22,9.63,94.89,blackgram
117,68,102,33.52,68.0,7.7,150.24,blackgram
112,55,177,15.28,55.14,6.96,236.06,blackgram
105,127,146,40.42,48.0,5.04,188.61,blackgram
12,67,103,35.87,14.89,4.07,43.13,blackgram
130,102,84,27.36,67.82,6.14,265.38,blackgram
112,33,43,35.31,31.67,4.57,119.15,blackgram
38,115,167,28.93,52.95,3.83,195.98,blackgram
66,75,48,30.27,82.24,4.13,93.69,blackgram
134,78,188,16.43,62.41,8.25,128.49,blackgram
86,98,81,43.37,66.68,9.81,147.01,blackgram
73,52,126,41.88,84.93,6.42,134.5,blackgram
133,128,19,11.72,57.32,7.13,221.63,blackgram
58,76,69,43.38,38.72,3.68,241.51,blackgram
73,144,105,41.28,15.65,6.13,108.85,blackgram
108,81,53,22.93,96.37,5.15,158.51,blackgram
25,38,126,29.11,15.21,5.78,186.64,blackgram
49,116,25,43.26,93.28,7.76,160.09,blackgram
22,111,156,34.9,37.33,5.28,46.25,blackgram
133,125,157,10.56,25.0,6.39,185.17,blackgram
64,51,184,21.39,25.27,9.46,195.89,blackgram
81,81,84,36.05,47.95,4.17,218.28,blackgram
75,35,94,36.2,83.76,9.55,261.96,blackgram
40,104,84,16.98,95.57,8.31,132.24,blackgram
123,100,150,10.8,74.2,5.82,33.96,blackgram
116,74,177,27.06,31.16,3.97,194.55,blackgram
102,116,185,22.53,95.59,5.06,152.65,blackgram
92,136,87,33.25,51.65,4.49,199.39,blackgram
138,47,195,27.72,82.48,7.19,214.38,blackgram
89,33,119,19.48,65.11,8.04,24.8,blackgram
12,134,87,36.97,92.29,4.15,146.36,blackgram
43,35,109,20.56,66.37,7.49,286.7,blackgram
43,86,155,26.64,16.15,9.79,292.97,blackgram
39,94,179,14.77,15.51,9.15,202.29,blackgram
15,13,175,24.08,54.13,4.63,181.12,blackgram
17,115,70,10.88,39.52,6.43,45.66,blackgram
98,48,25,43.62,81.67,5.27,158.53,blackgram
55,49,193,14.29,26.57,6.43,131.3,blackgram
116,58,27,37.8,78.29,9.4,155.02,blackgram
17,13,160,41.4,97.88,8.09,293.85,blackgram
8,23,79,31.22,35.75,3.91,175.05,blackgram
139,26,111,20.61,33.92,6.83,58.55,blackgram
13,120,134,22.72,85.07,8.65,174.86,blackgram
67,116,12,24.32,54.94,7.36,53.37,blackgram
99,21,11,19.66,99.31,9.22,137.2,blackgram
34,49,195,17.66,43.74,7.42,226.14,blackgram
70,73,78,16.43,66.35,3.76,256.93,blackgram
29,10,156,11.79,45.96,9.56,116.94,blackgram
108,81,195,36.76,75.59,5.17,28.76,blackgram
88,44,115,33.79,73.28,3.89,219.45,blackgram
102,33,35,22.32,25.68,4.62,86.7,blackgram
29,64,66,35.11,21.45,7.14,257.56,blackgram
115,108,130,14.93,35.63,4.78,41.91,blackgram
42,112,24,41.1,25.45,6.32,276.21,blackgram
86,33,111,26.08,68.67,8.0,160.84,blackgram
34,43,45,23.03,45.64,7.39,238.34,blackgram
125,21,186,23.88,61.29,3.92,241.49,blackgram
126,62,44,39.19,86.06,9.58,51.95,lentil
11,55,25,31.22,20.59,6.16,149.27,lentil
113,39,160,20.77,43.92,4.23,251.7,lentil
51,30,86,25.72,87.05,7.4,140.96,lentil
66,96,104,39.12,91.16,7.53,134.96,lentil
10,32,72,27.1,22.8,5.26,281.85,lentil
77,61,75,24.05,27.92,6.41,249.16,lentil
95,45,203,34.96,21.06,7.64,158.8,lentil
109,87,12,32.16,35.74,5.48,89.01,lentil
2,90,173,11.09,69.17,6.51,81.31,lentil
75,21,45,25.5,36.84,3.63,39.78,lentil
99,23,76,10.35,90.51,5.99,107.71,lentil
53,41,147,21.2,23.53,6.49,102.16,lentil
119,79,118,31.88,26.55,8.84,137.21,lentil
66,138,141,40.49,24.66,4.31,25.68,lentil
77,74,125,26.47,84.72,5.17,185.55,lentil
72,29,98,19.52,72.5,7.2,252.2,lentil
77,23,109,14.21,68.65,7.35,244.47,lentil
9,31,164,19.19,35.69,3.95,33.58,lentil
117,108,193,40.27,80.76,4.02,294.23,lentil
6,112,80,16.64,66.65,7.91,151.88,lentil
100,96,58,15.38,20.58,6.03,267.84,lentil
129,46,140,40.84,18.54,8.55,112.93,lentil
14,17,107,25.96,81.48,7.33,97.12,lentil
64,95,194,14.01,34.73,6.03,293.33,lentil
19,22,83,43.31,50.83,7.3,88.71,lentil
82,61,154,10.97,66.34,6.31,40.03,lentil
94,29,81,31.84,77.84,3.62,156.36,lentil
7,94,155,27.69,29.79,7.2,99.74,lentil
44,113,51,38.05,39.3,5.34,45.66,lentil
83,7,171,27.98,76.63,7.05,46.09,lentil
13,106,129,23.25,85.83,5.56,223.44,lentil
135,23,178,39.35,62.97,6.65,59.58,lentil
127,93,7,35.88,42.25,8.47,227.31,lentil
27,122,51,12.7,66.74,4.48,117.34,lentil
83,17,128,24.93,79.19,5.16,242.18,lentil
75,26,132,20.25,88.71,5.46,215.25,lentil
18,78,105,28.85,74.89,9.76,128.03,lentil
106,141,97,20.19,55.13,4.28,50.89,lentil
86,85,190,33.68,60.69,7.65,59.07,lentil
38,86,183,43.91,21.57,5.09,250.3,lentil
104,99,107,13.12,51.95,5.93,115.88,lentil
92,120,132,39.18,25.41,8.31,240.31,lentil
104,97,178,25.17,90.43,4.78,210.76,lentil
42,90,18,20.71,93.78,7.84,56.77,lentil
7,80,17,17.39,32.96,9.05,269.77,lentil
55,106,129,44.37,20.49,7.05,86.81,lentil
5,136,169,15.94,74.14,4.91,207.56,lentil
132,116,41,27.61,77.42,5.68,197.96,lentil
54,88,88,15.51,91.31,9.27,114.19,lentil
26,64,14,39.85,92.6,5.28,132.78,lentil
120,124,166,39.46,67.73,6.58,134.33,lentil
38,105,78,28.33,40.54,7.54,195.8,lentil
1,138,144,33.42,75.79,6.64,65.1,lentil
39,136,183,16.54,71.76,8.22,39.5,lentil
34,68,10,14.21,24.74,5.49,108.78,lentil
91,49,106,20.95,82.29,9.44,144.27,lentil
41,130,10,35.46,14.09,7.29,111.73,lentil
37,42,63,17.46,70.35,8.49,65.87,lentil
109,131,160,30.13,69.08,5.65,149.84,lentil
49,12,116,26.47,93.3,5.07,118.87,lentil
56,68,158,40.57,41.01,5.49,245.66,lentil
120,109,151,40.33,50.71,7.5,108.98,lentil
36,137,121,26.0,57.87,5.44,73.36,lentil
115,36,103,34.16,52.21,5.94,22.59,lentil
4,133,110,10.75,49.53,9.41,262.98,lentil
113,35,29,42.19,22.18,6.82,246.64,lentil
44,78,150,17.08,78.02,5.58,157.98,lentil
79,130,60,37.35,79.91,3.53,271.24,lentil
14,82,49,16.45,81.1,8.76,97.21,lentil
129,99,187,40.54,38.07,9.43,48.65,lentil
41,112,94,42.89,82.39,7.73,272.96,lentil
49,76,49,28.73,78.23,5.15,254.44,lentil
48,120,41,35.0,65.19,9.38,191.4,lentil
84,10,61,19.55,55.65,5.09,122.26,lentil
19,79,89,26.86,87.04,4.66,108.89,lentil
67,123,152,34.15,16.26,6.06,179.58,lentil
55,118,129,29.58,35.02,7.12,100.03,lentil
32,23,66,35.62,19.0,7.84,121.92,lentil
52,95,179,22.48,26.34,5.53,107.72,lentil
18,11,144,18.97,89.61,4.41,286.29,lentil
55,68,91,15.62,20.91,8.16,120.63,lentil
125,116,96,39.8,19.34,6.34,68.65,lentil
134,96,79,19.12,27.21,3.59,31.95,lentil
58,50,32,23.55,48.29,3.95,139.87,lentil
64,77,51,41.72,16.32,8.18,133.51,lentil
46,7,36,29.91,55.11,5.5,261.95,lentil
17,113,180,37.24,32.64,7.09,136.22,lentil
57,98,126,12.52,61.86,5.09,231.03,lentil
25,38,11,36.02,84.29,9.35,284.03,lentil
11,17,38,22.33,25.93,6.43,200.24,lentil
88,78,15,33.77,43.22,3.92,153.54,lentil
56,28,53,19.18,48.75,9.38,138.88,lentil
33,80,191,34.72,54.37,5.93,169.02,lentil
110,21,12,18.79,45.23,8.54,130.73,lentil
111,5,169,10.49,58.21,6.16,40.42,lentil
88,73,124,43.23,51.54,5.29,293.44,lentil
97,130,163,15.68,88.41,8.34,126.48,lentil
82,25,120,24.54,16.26,5.24,40.36,lentil
136,93,145,41.87,66.05,5.83,273.45,lentil
77,142,32,14.49,29.9,6.56,169.41,pomegranate
64,114,193,23.59,92.44,9.47,54.89,pomegranate
95,17,54,18.48,62.21,9.14,193.43,pomegranate
95,50,103,22.99,77.61,5.46,107.88,pomegranate
10,31,12,14.33,22.79,5.94,162.26,pomegranate
17,9,68,39.2,40.56,8.45,220.66,pomegranate
132,90,87,36.63,19.88,3.82,27.26,pomegranate
52,63,132,36.37,80.08,4.49,50.19,pomegranate
61,47,117,14.77,97.96,9.69,281.44,pomegranate
118,129,37,33.69,27.08,3.77,44.65,pomegranate
89,121,88,23.68,26.91,4.12,90.45,pomegranate
33,56,75,29.15,96.73,9.88,228.96,pomegranate
39,72,184,43.18,27.75,7.99,210.81,pomegranate
62,61,87,22.26,48.48,6.56,182.99,pomegranate
123,109,47,13.39,62.91,5.3,100.71,pomegranate
43,15,164,15.56,92.76,8.77,192.06,pomegranate
47,30,147,15.23,16.7,6.92,196.13,pomegranate
21,80,72,31.52,64.16,7.29,229.42,pomegranate
134,78,62,15.52,17.32,4.75,162.03,pomegranate
73,97,54,12.59,87.59,5.31,54.24,pomegranate
43,81,197,29.13,81.87,5.03,64.58,pomegranate
84,132,74,39.21,81.72,6.0,261.17,pomegranate
109,15,65,20.59,17.65,8.05,105.52,pomegranate
32,53,137,18.38,89.92,9.17,37.96,pomegranate
116,87,111,41.88,76.97,9.03,29.11,pomegranate
41,120,23,31.66,33.21,5.93,24.86,pomegranate
11,29,140,39.9,41.78,6.53,285.44,pomegranate
75,10,78,22.89,40.53,5.53,220.68,pomegranate
68,26,107,36.86,52.13,4.44,187.84,pomegranate
44,25,114,14.96,65.71,9.28,249.04,pomegranate
122,99,150,16.36,68.9,8.0,265.38,pomegranate
25,45,120,32.48,21.94,5.66,191.59,pomegranate
3,133,89,11.83,23.76,6.66,261.95,pomegranate
